Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Wed Jul 8 11:58 AM,Wed Jul 8 12:13 PM,0.3 hr,225,225,https://www.instagram.com/reel/DaianjkOiQ1/
Wed Jul 8 12:13 PM,Wed Jul 8 12:28 PM,0.2 hr,202,427,
Wed Jul 8 12:28 PM,Wed Jul 8 12:43 PM,0.3 hr,154,581,
Wed Jul 8 12:43 PM,Wed Jul 8 12:58 PM,0.3 hr,125,706,
Wed Jul 8 12:58 PM,Wed Jul 8 1:13 PM,0.2 hr,108,814,
Wed Jul 8 1:13 PM,Wed Jul 8 1:28 PM,0.3 hr,93,907,
Wed Jul 8 1:28 PM,Wed Jul 8 1:58 PM,0.5 hr,105,1012,
Wed Jul 8 1:58 PM,Wed Jul 8 2:28 PM,0.5 hr,94,1106,
Wed Jul 8 2:28 PM,Wed Jul 8 2:58 PM,0.5 hr,582,1688,
Wed Jul 8 2:58 PM,Wed Jul 8 3:28 PM,0.5 hr,544,2232,
Wed Jul 8 3:28 PM,Wed Jul 8 3:58 PM,0.5 hr,475,2707,
Wed Jul 8 3:58 PM,Wed Jul 8 4:28 PM,0.5 hr,415,3122,
Wed Jul 8 4:28 PM,Wed Jul 8 4:58 PM,0.5 hr,548,3670,
Wed Jul 8 4:58 PM,Wed Jul 8 5:28 PM,0.5 hr,674,4344,
Wed Jul 8 5:28 PM,Wed Jul 8 5:58 PM,0.5 hr,438,4782,
Wed Jul 8 5:58 PM,Wed Jul 8 6:28 PM,0.5 hr,364,5146,
Wed Jul 8 6:28 PM,Wed Jul 8 6:58 PM,0.5 hr,370,5516,
Wed Jul 8 6:58 PM,Wed Jul 8 7:28 PM,0.5 hr,331,5847,
Wed Jul 8 7:28 PM,Wed Jul 8 7:58 PM,0.5 hr,321,6168,
Wed Jul 8 7:58 PM,Wed Jul 8 8:28 PM,0.5 hr,251,6419,
Wed Jul 8 8:28 PM,Wed Jul 8 8:58 PM,0.5 hr,307,6726,
Wed Jul 8 8:58 PM,Wed Jul 8 9:28 PM,0.5 hr,409,7135,
Wed Jul 8 9:28 PM,Wed Jul 8 9:58 PM,0.5 hr,384,7519,
Wed Jul 8 9:58 PM,Wed Jul 8 10:28 PM,0.5 hr,457,7976,
Wed Jul 8 10:28 PM,Wed Jul 8 10:58 PM,0.5 hr,518,8494,
Wed Jul 8 10:58 PM,Wed Jul 8 11:28 PM,0.5 hr,999,9493,
Wed Jul 8 11:28 PM,Wed Jul 8 11:58 PM,0.5 hr,795,10288,
Wed Jul 8 11:58 PM,Thu Jul 9 12:58 AM,1.0 hr,1007,11295,
Thu Jul 9 12:58 AM,Thu Jul 9 1:58 AM,1.0 hr,1091,12386,
Thu Jul 9 1:58 AM,Thu Jul 9 2:58 AM,1.0 hr,1020,13406,
Thu Jul 9 2:58 AM,Thu Jul 9 3:58 AM,1.0 hr,981,14387,
Thu Jul 9 3:58 AM,Thu Jul 9 4:58 AM,1.0 hr,740,15127,
Thu Jul 9 4:58 AM,Thu Jul 9 5:58 AM,1.0 hr,824,15951,
Thu Jul 9 5:58 AM,Thu Jul 9 6:58 AM,1.0 hr,736,16687,
Thu Jul 9 6:58 AM,Thu Jul 9 7:58 AM,1.0 hr,906,17593,
Thu Jul 9 7:58 AM,Thu Jul 9 8:58 AM,1.0 hr,1031,18624,
Thu Jul 9 8:58 AM,Thu Jul 9 9:58 AM,1.0 hr,937,19561,
Thu Jul 9 9:58 AM,Thu Jul 9 10:58 AM,1.0 hr,1076,20637,
Thu Jul 9 10:58 AM,Thu Jul 9 11:58 AM,1.0 hr,773,21410,
Thu Jul 9 11:58 AM,Thu Jul 9 2:58 PM,3.0 hr,1368,22778,
Thu Jul 9 2:58 PM,Thu Jul 9 5:58 PM,3.0 hr,974,23752,
Thu Jul 9 5:58 PM,Thu Jul 9 8:58 PM,3.0 hr,952,24704,
Thu Jul 9 8:58 PM,Thu Jul 9 11:58 PM,3.0 hr,689,25393,
Thu Jul 9 11:58 PM,Fri Jul 10 2:58 AM,3.0 hr,428,25821,
Fri Jul 10 2:58 AM,Fri Jul 10 5:58 AM,3.0 hr,439,26260,
Fri Jul 10 5:58 AM,Fri Jul 10 8:58 AM,3.0 hr,676,26936,
Fri Jul 10 8:58 AM,Fri Jul 10 11:58 AM,3.0 hr,693,27629,
Fri Jul 10 11:58 AM,Fri Jul 10 5:58 PM,6.0 hr,984,28613,
Fri Jul 10 5:58 PM,Fri Jul 10 11:58 PM,6.0 hr,1033,29646,
Fri Jul 10 11:58 PM,Sat Jul 11 5:58 AM,6.0 hr,416,30062,
Sat Jul 11 5:58 AM,Sat Jul 11 11:58 AM,6.0 hr,785,30847,
Sat Jul 11 11:58 AM,Sat Jul 11 5:58 PM,6.0 hr,887,31734,
Sat Jul 11 5:58 PM,Sat Jul 11 11:58 PM,6.0 hr,925,32659,
Sat Jul 11 11:58 PM,Sun Jul 12 5:58 AM,6.0 hr,374,33033,
Sun Jul 12 5:58 AM,Sun Jul 12 11:58 AM,6.0 hr,686,33719,
Sun Jul 12 11:58 AM,Sun Jul 12 11:58 PM,12.0 hr,1780,35499,
Sun Jul 12 11:58 PM,Mon Jul 13 11:58 AM,12.0 hr,527,36026,
Mon Jul 13 11:58 AM,Mon Jul 13 11:58 PM,12.0 hr,157,36183,
